Area,Rule or expectation,Status,Code surfaces,Coverage,Notes
Business profile,"Region, province, fiscal year, accounting method, activity code, and GST/HST profile are captured and validated",partial,"routes/business.routes.js; routes/businesses.routes.js; public/html/settings.html; public/html/business-settings-cpa.html",businessProfileNormalization.test.js,"Data collection is stronger than downstream enforcement."
Accounting method,"Cash vs accrual basis should change recognition timing and reporting logic",wrong,"routes/business.routes.js; routes/me.routes.js; services/exportSnapshotService.js",none,"accounting_method is required and exported, but no traced timing engine was found."
Fiscal year,"Canadian and non-calendar businesses should summarize by configured fiscal-year bounds",correct,"utils/fiscalYear.js; services/taxSummaryService.js; services/taxDashboardService.js; routes/transactions.routes.js","taxSummaryService.test.js; taxDashboardService.test.js","Fixed and wired into summary/dashboard paths."
Opening balances,"Businesses adopting midstream need account opening balances for correct balance carryforward",partial,"public/json/accounts.json; routes/accounts.routes.js; public/html/accounts.html",accountsOpeningBalanceRoutes.test.js,"The field is now stored and editable, but broader balance-sheet rollforward logic still needs work."
Transaction model,"Income and expense entry should preserve tax-relevant fields consistently",partial,"routes/transactions.routes.js; public/js/transactions.js","criticalFlows.test.js; transactionsFeatureGating.test.js","Core flow is broad, but tax behavior still relies on category mapping and review exceptions."
CSV import,"Imported rows should land in categories with valid jurisdiction-aware tax mapping",partial,routes/transactions.routes.js,"transactionImportService.test.js; transactionCsvImportHelpers.test.js; transactionsCsvImportLimit.test.js","Fallback-created categories now inherit region-valid default tax maps, but categorization accuracy is still heuristic."
Review queue,"Compliance issues should be surfaced for unsupported or weakly evidenced transactions",partial,"routes/review.routes.js; services/transactionReviewFlagService.js","reviewQueueRoutes.test.js; transactionReviewFlagService.test.js","Queue works again, but scope is still narrower than a full accountant review workflow."
1099 and T4A,"Payer thresholds should be year-aware and based on gross receipts from payer",correct,"services/taxSummaryService.js; services/pdfGeneratorService.js; utils/taxFormThresholds.js","taxSummaryService.test.js; pdfTaxPacketHelpers.test.js","Thresholds are centralized and year-keyed."
Tax line summaries,"Auto-deductible totals should exclude areas that require separate schedules or elections",partial,"services/taxSummaryService.js; services/pdf/taxMappings.js",taxSummaryService.test.js,"Home office and capital-asset lines are review-only, but there is no full schedule engine."
Home office,"Business-use-of-home should be calculated from dedicated inputs, not raw transaction totals",wrong,"services/pdf/taxMappings.js; services/taxSummaryService.js",limited,"Current behavior is defensive only: summaries avoid over-deducting, but there is no real calculator."
Vehicle US,"Standard mileage vs actual should follow election-style consistency and supporting-data rules",partial,"services/vehicleClaimService.js; routes/vehicleClaims.routes.js; public/html/compliance-dashboard.html",vehicleClaimService.test.js,"Now enforces one method per business tax year, but not a true per-vehicle election model."
Vehicle Canada,"Self-employed vehicle deductions should use actual expenses with business-use allocation",partial,"services/vehicleClaimService.js; routes/vehicleClaims.routes.js; public/html/compliance-dashboard.html",vehicleClaimService.test.js,"Invalid flat mileage path is blocked, but broader motor-vehicle workflow is still limited."
Capital assets,"Asset records should support depreciation or CCA schedules and roll into tax outputs safely",partial,"services/capitalAssetService.js; utils/depreciationSchedules.js; routes/capitalAssets.routes.js",depreciationSchedules.test.js,"Aggregate depreciation path exists. Export does not yet render a detailed per-asset tax packet schedule."
Depreciation rules,"Section 179 and bonus-depreciation rules should be year-accurate and date-aware where required",partial,"utils/depreciationSchedules.js; services/capitalAssetService.js",depreciationSchedules.test.js,"2025 and 2026 helper corrections were made, but more edge-case elections may still exist."
GST/HST registration,"CRA threshold monitoring should use quarter-based tests, not annual totals",partial,services/taxDashboardService.js,taxDashboardService.test.js,"Logic is now quarter-based, but it still depends on transaction classification quality and not a full worldwide taxable-supplies engine."
GST/HST numbers,"Registration number capture and validation should be enforced when applicable",correct,"services/gstHstNumberService.js; routes/business.routes.js",gstHstNumberService.test.js,"Validation exists for formatting and profile completeness."
Quick Method eligibility,"Quick Method should only be offered when province, supply type, activity, and revenue support it",partial,"services/quickMethodService.js; routes/exports.routes.js; routes/business.routes.js",quickMethodService.test.js,"The code now fails closed more often, which is safer. It is still not a complete CRA engine."
Quick Method rates,"Rate tables must be year-appropriate and handle known province changes",partial,"services/quickMethodService.js; db/migrations/20260530_correct_quick_method_rates.sql",quickMethodService.test.js,"Exact 2026 groups are seeded. Intra-year rule changes still need conservative handling."
Export readiness,"Exports should fail or warn when key tax profile data is missing",correct,"services/exportSnapshotService.js; services/pdfGeneratorService.js","exportSnapshotService.test.js; pdfTaxPacketHelpers.test.js","Snapshot layer checks profile completeness and readiness issues."
Export dataset,"Workpaper dataset should preserve mapping, support, review status, and exclusions coherently",partial,"services/exportDatasetService.js; routes/exports.routes.js","exportDatasetService.test.js; exportsRegression.test.js","Correctness still depends on upstream tax categorization."
